Website URL,Website Name
https://www.cosmopolitan.com/style-beauty/fashion/g38451358/2022-fashion-trends/,cosmopolitan
https://www.instyle.com/fashion/clothing/spring-2022-fashion-trends,instyle
https://www.purewow.com/fashion/2022-fashion-trend-predictions,pure wow
https://www.vogue.co.uk/fashion/article/fashion-trends-2022,vogue uk
https://www.vogue.co.uk/fashion/gallery/spring-summer-2022-fashion-trends,vogue uk
https://www.harpersbazaar.com/fashion/trends/g38124524/new-york-spring-2022-fashion-trends/,harper's bazaar
https://www.whowhatwear.com/new-york-fashion-week-spring-summer-2022/slide10,who what wear
https://www.glamourmagazine.co.uk/gallery/spring-summer-2022-fashion-trends,glamour magazine
https://www.marieclaire.com/fashion/g37705070/spring-2022-fashion-trends/,marie clare
https://www.whowhatwear.com/spring-summer-fashion-trends-2022,who what wear
https://www.whowhatwear.com/paris-fashion-week-spring-summer-2022/slide25,who what wear
https://www.thetrendspotter.net/fashion-trends-spring-summer-2022/,trendspotter
https://www.vogue.com/fashion-shows/spring-2022-ready-to-wear/dolce-gabbana/slideshow/collection?epik=dj0yJnU9S01LdUFrRHUtOWhHNmpLQTB6WHl5aHkwUThkZWF4OUImcD0wJm49Ri1QZnk4WDhkcmZONEFfS1dCOG94dyZ0PUFBQUFBR0hIRy1Z#26,vogue 
https://www.vogue.com/fashion-shows/spring-2022-ready-to-wear/gucci/slideshow/collection?epik=dj0yJnU9YmN2VWdJM0dCNHpHQ19tc2d3Q2R4MzV4OVFVZkZha0omcD0wJm49aGJyYkpyM3U0cjRSR2hVWHV4YlJvUSZ0PUFBQUFBR0hISGtv#1,vogue 
https://www.vogue.com/fashion-shows/spring-2022-ready-to-wear/valentino?epik=dj0yJnU9enNyZ2FVc2V2TmJVU1JxOUE3Z3pXTGtGbUlPSFF1LVUmcD0wJm49aFdNZjRPcEFxN09Oc0twbXdQMHZsdyZ0PUFBQUFBR0hIVkE4#gallery-detail,vogue 
https://stylecaster.com/color-trends-2022/#slide-2,stylecaster
https://www.vogue.co.uk/fashion/gallery/spring-summer-2022-fashion-trends,vogue uk
https://www.glamourmagazine.co.uk/gallery/spring-summer-2022-fashion-trends,glamour magazine
https://www.vogue.co.uk/fashion/gallery/spring-summer-2022-fashion-trends,vogue uk
https://www.marieclaire.com/fashion/g37705070/spring-2022-fashion-trends/,marie clare
